epoch,train_loss,train_acc,val_loss,val_acc
1,0.6664927863412433,0.7958333333333333,0.24662047177553176,0.9666666666666667
2,0.29831210068530506,0.9013888888888889,0.2053208110233148,0.9583333333333334
3,0.25589184247785146,0.90625,0.18676787267128628,0.9555555555555556
4,0.20197894918835826,0.9263888888888889,0.1309979738874568,0.9694444444444444
5,0.186548649912907,0.9319444444444445,0.13251574623088042,0.9583333333333334
6,0.1924069804035955,0.9340277777777778,0.1364075824411379,0.9583333333333334
7,0.17627474781539704,0.9340277777777778,0.12289282574007908,0.9638888888888889
8,0.1758694962494903,0.9319444444444445,0.13442247819362416,0.9694444444444444
9,0.15996065014559363,0.9458333333333333,0.11461849725391302,0.9666666666666667
10,0.16233420002067256,0.9395833333333333,0.11319083016779688,0.9694444444444444
11,0.09460099087834048,0.9659722222222222,0.07639957456881853,0.9666666666666667
12,0.10625298112993026,0.9645833333333333,0.029938487579622437,0.9916666666666667
13,0.08677173444173403,0.9694444444444444,0.05731537097841889,0.9777777777777777
14,0.06386750638096904,0.975,0.019264045820131692,1.0
15,0.07182206465772147,0.9784722222222222,0.03324065239899533,0.9861111111111112
16,0.07055552859253819,0.9722222222222222,0.034224728739678134,0.9944444444444445
17,0.05803150701378602,0.9826388888888888,0.025265769864189578,0.9944444444444445
18,0.056761249859765585,0.9784722222222222,0.015402342084457309,1.0
19,0.056247183845456065,0.9819444444444444,0.039896423295431305,0.9861111111111112
20,0.05488117593211225,0.9847222222222223,0.020338462409967582,0.9972222222222222
21,0.04810500357028407,0.9826388888888888,0.043842361837636824,0.9805555555555555
22,0.03726898226304911,0.9847222222222223,0.04608066976308894,0.9805555555555555
23,0.045417949314449084,0.9847222222222223,0.02281441092127352,0.9944444444444445
24,0.058894702258597435,0.9819444444444444,0.02568575981701239,0.9916666666666667
25,0.052089576052902785,0.9798611111111111,0.02253383868139483,0.9944444444444445
